iter	RMSE
0	0.8968738362
1	0.8566519857
2	0.8199272514
3	0.7891237899
4	0.7632699381
5	0.7399233398
6	0.7212198147
7	0.7041964827
8	0.6907861926
9	0.6803651007
10	0.6706978281
11	0.661599294
12	0.6543649015
13	0.6493864867
14	0.643948046
15	0.6391165668
16	0.6346736882
17	0.6311808709
18	0.6281471326
19	0.6256615623
20	0.6236123067
21	0.6221414558
22	0.6205403701
23	0.6191119278
24	0.6175764614
25	0.6162947326
26	0.615091373
27	0.6145243051
28	0.6136848613
29	0.6129967205
30	0.6124894359
31	0.612068125
32	0.611633467
33	0.6111075618
34	0.6106410992
35	0.6103640355
36	0.609797525
37	0.6095464127
38	0.6093237168
39	0.6090169215
40	0.6087071496
41	0.6083213029
42	0.6080097321
43	0.6078531475
44	0.6077259328
45	0.6075013829
46	0.6071400704
47	0.6068420201
48	0.6065459352
49	0.6064814968
50	0.6064068417
51	0.6063084051
52	0.6061630074
53	0.6061320872
54	0.6058245368
55	0.6057872611
56	0.6055199258
57	0.6053432042
58	0.6053257447
59	0.605070909
60	0.6049756226
61	0.6048971123
62	0.6046862852
63	0.6046409837
64	0.6045260442
65	0.604378194
66	0.6042129376
67	0.6041774331
68	0.6040999505
69	0.6040285866
70	0.6039831086
71	0.6038598052
72	0.6038187206
73	0.6037110637
74	0.6036499894
75	0.6036125857
76	0.6034103128
77	0.6033158536
78	0.6032663001
79	0.6032147544
80	0.6030538503
81	0.6030277999
82	0.6029546233
83	0.6027899995
84	0.6025330016
85	0.6024555431
86	0.6022749236
87	0.6022225461
88	0.6021441192
89	0.6019051123
90	0.6018290311
91	0.6017837933
92	0.6017308617
93	0.6016130346
94	0.6014601906
95	0.601416749
96	0.6013263458
97	0.6012724478
98	0.6010906851
99	0.6009044808
