iter	Passed	Remaining
0	4	475
1	9	473
2	14	453
3	18	435
4	22	431
5	27	424
6	31	414
7	35	406
8	40	406
9	42	385
10	46	379
11	51	374
12	57	384
13	61	374
14	65	373
15	70	372
16	75	367
17	79	362
18	83	356
19	88	354
20	93	350
21	96	342
22	100	336
23	105	333
24	109	328
25	113	323
26	117	318
27	122	314
28	126	308
29	130	304
30	135	301
31	140	297
32	144	292
33	148	288
34	154	286
35	158	281
36	162	277
37	167	273
38	172	269
39	176	264
40	180	259
41	185	256
42	190	252
43	194	247
44	199	243
45	204	239
46	208	234
47	212	229
48	217	225
49	221	221
50	225	216
51	229	211
52	234	207
53	236	201
54	240	196
55	244	192
56	249	187
57	253	183
58	255	177
59	259	173
60	264	168
61	268	164
62	272	159
63	276	155
64	281	151
65	285	147
66	289	142
67	293	138
68	298	133
69	302	129
70	306	125
71	310	120
72	316	117
73	320	112
74	324	108
75	329	104
76	334	99
77	338	95
78	341	90
79	346	86
80	350	82
81	354	77
82	358	73
83	363	69
84	367	64
85	371	60
86	375	56
87	379	51
88	384	47
89	388	43
90	392	38
91	397	34
92	401	30
93	405	25
94	410	21
95	414	17
96	418	12
97	422	8
98	426	4
99	430	0
